Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
India,Bachelor’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,
Morocco,Master’s degree,Student,3-5 years,Python,R,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10-20 years,Python,,,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"70,000-79,999"
Other,Bachelor’s degree,Data Scientist,< 1 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
Canada,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Master’s degree,Currently not employed,10-20 years,Python,,SQL,,,Java,Javascript,,,,,,Other,C++,Linear or Logistic Regression,,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,Julia,,,,,,Julia,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
Canada,Master’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
South Africa,Bachelor’s degree,Student,< 1 years,,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Australia,Master’s degree,Software Engineer,1-2 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,
Singapore,Master’s degree,Other,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"80,000-89,999"
India,Bachelor’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"25,000-29,999"
Canada,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Japan,Master’s degree,Other,3-5 years,Python,,,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"70,000-79,999"
India,Master’s degree,Data Scientist,3-5 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,
Other,Master’s degree,Other,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"25,000-29,999"
Romania,Bachelor’s degree,Student,5-10 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
United States of America,Bachelor’s degree,Student,3-5 years,Python,R,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python,R,,,,,Javascript,,,Bash,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
United States of America,Master’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,
Japan,Bachelor’s degree,Machine Learning Engineer,20+ years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"40,000-49,999"
United States of America,Master’s degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"150,000-199,999"
India,Master’s degree,Software Engineer,3-5 years,Python,,SQL,C,C++,,,,,,,,,Python,,,,,,,,,,,,,
Nigeria,Master’s degree,Machine Learning Engineer,1-2 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"10,000-14,999"
India,Master’s degree,Student,1-2 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,,,,,,,,,,,,
Turkey,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,Bash,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
South Korea,Master’s degree,Product/Project Manager,20+ years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"70,000-79,999"
Other,Master’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"10,000-14,999"
Canada,Master’s degree,Research Scientist,10-20 years,,,,,,,,Julia,,,,,,Julia,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"40,000-49,999"
India,Bachelor’s degree,Currently not employed,1-2 years,Python,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,,,
Nigeria,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
Canada,Doctoral degree,Research Scientist,10-20 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"> $500,000"
India,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"5,000-7,499"
Other,Doctoral degree,Student,10-20 years,Python,,,C,C++,Java,Javascript,,,Bash,MATLAB,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Poland,Master’s degree,Student,5-10 years,Python,R,SQL,,,,,,,,,,,C++,Linear or Logistic Regression,,,,,,,,,,,,
United States of America,Bachelor’s degree,Other,1-2 years,Python,,SQL,,,,,,,,,,Other,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"70,000-79,999"
Kenya,Doctoral degree,Student,< 1 years,,R,,,,,,,,,,,,R,,,,,,,,,,,,,
Ghana,Doctoral degree,Statistician,1-2 years,Python,R,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,None,,,,,,,,,,,,,
United States of America,Master’s degree,Data Scientist,10-20 years,Python,,SQL,,,,,,,Bash,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"250,000-299,999"
Turkey,Master’s degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,Master’s degree,Student,3-5 years,Python,,,,,Java,Javascript,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,
Brazil,Master’s degree,Data Scientist,1-2 years,Python,R,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"15,000-19,999"
Spain,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,
Mexico,Bachelor’s degree,Student,1-2 years,Python,,,,C++,Java,,,,,MATLAB,,,C++,,,,,,,Convolutional Neural Networks,,,,,,
Greece,Doctoral degree,Research Scientist,20+ years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
South Africa,Bachelor’s degree,Student,10-20 years,Python,,SQL,,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
China,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
Singapore,Master’s degree,Student,1-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Professional degree,Business Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,Other,$0-999
Australia,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"90,000-99,999"
Other,Master’s degree,Other,< 1 years,Python,,SQL,,,,,,Swift,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"250,000-299,999"
India,Master’s degree,Statistician,3-5 years,Python,,,,,,,,,,,,Other,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"25,000-29,999"
India,Master’s degree,Product/Project Manager,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,"2,000-2,999"
United States of America,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"50,000-59,999"
Nigeria,Master’s degree,Other,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,$0-999
United States of America,Master’s degree,Other,3-5 years,Python,R,SQL,,,,,,,,,,Other,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"60,000-69,999"
Brazil,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,R,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
India,Professional degree,Data Scientist,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"5,000-7,499"
United States of America,Bachelor’s degree,Data Analyst,1-2 years,,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,"100,000-124,999"
India,Bachelor’s degree,Student,5-10 years,Python,,,,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
United States of America,Bachelor’s degree,Business Analyst,10-20 years,Python,,SQL,,,Java,Javascript,,,Bash,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"125,000-149,999"
"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
India,I prefer not to answer,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,$0-999
Japan,Master’s degree,Currently not employed,< 1 years,Python,,,,C++,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
United Arab Emirates,Master’s degree,Product/Project Manager,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"100,000-124,999"
United States of America,Doctoral degree,Product/Project Manager,20+ years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"300,000-500,000"
Portugal,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
France,Doctoral degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"50,000-59,999"
India,Master’s degree,Research Scientist,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"15,000-19,999"
India,Master’s degree,Business Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"2,000-2,999"
Other,Some college/university study without earning a bachelor’s degree,Software Engineer,1-2 years,Python,,SQL,,,Java,,,,,,,,Java,Linear or Logistic Regression,,,,Evolutionary Approaches,,,,,,,,$0-999
India,Professional degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,Bash,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"4,000-4,999"
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"7,500-9,999"
Nepal,Bachelor’s degree,Student,3-5 years,Python,,SQL,,C++,Java,Javascript,,,,MATLAB,,,C++,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Indonesia,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Data Engineer,5-10 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,None,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,,,
Russia,Master’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"3,000-3,999"
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
Portugal,Doctoral degree,Research Scientist,20+ years,Python,,,C,,,,,,,,,,Python,,Decision Trees or Random Forests,,,Evolutionary Approaches,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,,Java,Javascript,,,,MATLAB,,,Python,,,,,,,,,,,None,,
India,Master’s degree,Business Analyst,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"10,000-14,999"
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Product/Project Manager,3-5 years,Python,R,SQL,,,Java,Javascript,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,Generative Adversarial Networks,Recurrent Neural Networks,,,,"1,000-1,999"
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,,,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,
India,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,"7,500-9,999"
Other,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,R,,,,,,,,,,,,,
Japan,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
France,Master’s degree,Product/Project Manager,< 1 years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"40,000-49,999"
Russia,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"1,000-1,999"
