Q3,Q4,Q5,Q6,Q8
Other,Bachelor’s degree,Other,< 1 years,SQL
Italy,Doctoral degree,Research Scientist,10-20 years,Python
United States of America,Master’s degree,Product/Project Manager,5-10 years,Python
Spain,Master’s degree,Other,20+ years,Python
Other,Doctoral degree,Data Scientist,10-20 years,SQL
Australia,,,,
India,Master’s degree,Business Analyst,< 1 years,Python
Australia,Bachelor’s degree,Data Scientist,5-10 years,R
India,Master’s degree,Currently not employed,1-2 years,Python
India,Master’s degree,Student,3-5 years,Python
Other,Master’s degree,Student,5-10 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
France,Master’s degree,Data Scientist,1-2 years,Python
Tunisia,Professional degree,Student,3-5 years,Python
India,Master’s degree,Currently not employed,5-10 years,Python
Other,Master’s degree,Student,1-2 years,Python
India,Professional degree,Software Engineer,1-2 years,Python
Ukraine,No formal education past high school,Business Analyst,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Python
India,Master’s degree,Student,3-5 years,R
India,Master’s degree,Student,1-2 years,Python
Italy,Bachelor’s degree,Software Engineer,10-20 years,R
Poland,Bachelor’s degree,Data Scientist,3-5 years,Python
Mexico,Doctoral degree,Other,20+ years,Python
Sri Lanka,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Currently not employed,1-2 years,Python
India,Professional degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Product/Project Manager,10-20 years,Python
Turkey,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,Python
United States of America,Master’s degree,Software Engineer,5-10 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
United States of America,Master’s degree,Business Analyst,3-5 years,SQL
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,3-5 years,Python
India,Master’s degree,Currently not employed,5-10 years,Python
India,Master’s degree,Student,< 1 years,Python
Greece,Bachelor’s degree,Currently not employed,5-10 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Brazil,Bachelor’s degree,Data Scientist,3-5 years,Python
India,I prefer not to answer,Currently not employed,< 1 years,Python
Ukraine,Master’s degree,Student,1-2 years,Python
Sweden,Master’s degree,Software Engineer,20+ years,R
India,Professional degree,Data Scientist,5-10 years,Python
United States of America,Doctoral degree,Student,1-2 years,R
United States of America,Master’s degree,Data Scientist,5-10 years,SQL
Other,Bachelor’s degree,Student,< 1 years,SQL
Taiwan,Master’s degree,Other,< 1 years,SQL
Germany,Doctoral degree,Research Scientist,20+ years,Python
Brazil,,,,
South Korea,Bachelor’s degree,Data Engineer,3-5 years,Python
Ireland,Master’s degree,Data Scientist,1-2 years,Python
Taiwan,Master’s degree,Student,< 1 years,Python
Brazil,Doctoral degree,Research Scientist,3-5 years,R
Taiwan,Master’s degree,Data Analyst,< 1 years,Python
Pakistan,Bachelor’s degree,Student,1-2 years,Python
Other,No formal education past high school,Currently not employed,< 1 years,Python
India,Master’s degree,Other,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Japan,Master’s degree,Data Scientist,20+ years,Python
Viet Nam,Professional degree,Data Scientist,< 1 years,Python
Brazil,Master’s degree,Data Scientist,3-5 years,Python
Russia,Doctoral degree,Research Scientist,10-20 years,Python
Other,No formal education past high school,Student,1-2 years,Javascript
Colombia,Bachelor’s degree,Data Analyst,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,C++
United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,20+ years,Python
India,Master’s degree,Student,5-10 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Python
South Africa,Master’s degree,Product/Project Manager,< 1 years,SQL
Brazil,Bachelor’s degree,Student,1-2 years,Python
Russia,Bachelor’s degree,Software Engineer,1-2 years,Python
Netherlands,Master’s degree,Data Scientist,1-2 years,Python
Japan,Master’s degree,Student,3-5 years,Python
Japan,,,,
Peru,Professional degree,Data Scientist,10-20 years,Python
India,Master’s degree,Software Engineer,3-5 years,SQL
India,Doctoral degree,Research Scientist,20+ years,Python
India,Master’s degree,Student,3-5 years,Python
Italy,Master’s degree,Student,< 1 years,R
Other,Some college/university study without earning a bachelor’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Python
Egypt,Bachelor’s degree,Student,< 1 years,Python
Switzerland,Master’s degree,Data Scientist,5-10 years,Python
Other,Master’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Data Analyst,1-2 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Germany,Doctoral degree,Research Scientist,1-2 years,Python
Colombia,Master’s degree,Business Analyst,< 1 years,Python
Turkey,Doctoral degree,Student,1-2 years,R
India,,,,
Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,1-2 years,Python
Kenya,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Spain,Master’s degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Python
Indonesia,Bachelor’s degree,Software Engineer,1-2 years,Python
Germany,Bachelor’s degree,Data Scientist,5-10 years,Python
Nigeria,Bachelor’s degree,Student,3-5 years,Python
Turkey,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
China,Bachelor’s degree,Student,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,5-10 years,Python
Nepal,Bachelor’s degree,Research Scientist,< 1 years,Python
India,Master’s degree,Product/Project Manager,< 1 years,Python
Turkey,Bachelor’s degree,Statistician,1-2 years,C++
Brazil,Doctoral degree,Business Analyst,5-10 years,Python
Pakistan,Master’s degree,Machine Learning Engineer,3-5 years,Python
United States of America,Master’s degree,Data Scientist,3-5 years,Python
Bangladesh,Bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Chile,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Mexico,Master’s degree,Data Scientist,5-10 years,Python
Germany,Master’s degree,Research Scientist,3-5 years,Python
Brazil,Master’s degree,Student,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,1-2 years,Python
India,Master’s degree,Student,3-5 years,Python
Turkey,Doctoral degree,Research Scientist,3-5 years,Python
Nigeria,Master’s degree,Research Scientist,< 1 years,R
Australia,Master’s degree,Other,1-2 years,Python
China,Master’s degree,Other,< 1 years,MATLAB
Japan,Master’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Other,Master’s degree,Data Scientist,3-5 years,Other
Germany,Bachelor’s degree,Student,1-2 years,Python
Other,Master’s degree,Student,1-2 years,Other
India,Bachelor’s degree,Student,3-5 years,Python
Other,Master’s degree,Data Scientist,3-5 years,Python
Other,Doctoral degree,Research Scientist,20+ years,Python
Switzerland,Master’s degree,Currently not employed,20+ years,SQL
India,Bachelor’s degree,Student,1-2 years,Python
Turkey,Master’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Student,3-5 years,Python
China,Doctoral degree,,,
United States of America,Bachelor’s degree,Product/Project Manager,5-10 years,Python
China,,,,
United States of America,Master’s degree,Business Analyst,3-5 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Turkey,Professional degree,Research Scientist,10-20 years,R
Morocco,Master’s degree,Student,< 1 years,Python
Brazil,Bachelor’s degree,Data Scientist,5-10 years,Python
Portugal,Doctoral degree,Data Analyst,5-10 years,Python
Sri Lanka,I prefer not to answer,Student,3-5 years,Python
United States of America,Master’s degree,Currently not employed,1-2 years,Python
United States of America,Master’s degree,Product/Project Manager,< 1 years,None
Pakistan,No formal education past high school,Student,1-2 years,R
Spain,Bachelor’s degree,Business Analyst,< 1 years,Python
Australia,Doctoral degree,Other,3-5 years,Python
Malaysia,Doctoral degree,Student,5-10 years,Python
Switzerland,Doctoral degree,Student,3-5 years,Python
Russia,Bachelor’s degree,Currently not employed,< 1 years,SQL
Other,Bachelor’s degree,Student,< 1 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
India,Master’s degree,Student,< 1 years,Python
India,Master’s degree,Data Scientist,1-2 years,Python
South Africa,Bachelor’s degree,Student,3-5 years,Python
Japan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,20+ years,Python
Brazil,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Business Analyst,3-5 years,Python
Argentina,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Python
Egypt,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,,,
"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,Python
Poland,Master’s degree,Data Analyst,5-10 years,None
Poland,Master’s degree,Data Scientist,10-20 years,Python
Spain,Bachelor’s degree,Data Scientist,3-5 years,Python
Belgium,Doctoral degree,Data Scientist,3-5 years,Python
United States of America,Doctoral degree,Student,< 1 years,R
United States of America,Master’s degree,Software Engineer,3-5 years,Python
France,Master’s degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Other,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Python
India,Bachelor’s degree,Machine Learning Engineer,10-20 years,Python
Other,Master’s degree,Currently not employed,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,C
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,Python
India,Some college/university study without earning a bachelor’s degree,Currently not employed,3-5 years,Python
Brazil,Bachelor’s degree,Currently not employed,< 1 years,Python
Viet Nam,Some college/university study without earning a bachelor’s degree,Statistician,< 1 years,SQL
India,Professional degree,Business Analyst,< 1 years,R
Japan,Bachelor’s degree,,,
Taiwan,Master’s degree,Software Engineer,1-2 years,Python
France,Professional degree,Software Engineer,5-10 years,Python
Japan,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,5-10 years,Python
Other,Master’s degree,Data Engineer,10-20 years,Python
Canada,Master’s degree,Business Analyst,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Colombia,Master’s degree,Machine Learning Engineer,3-5 years,Python
Spain,Master’s degree,Business Analyst,20+ years,Python
Russia,Master’s degree,Machine Learning Engineer,5-10 years,C
"Iran, Islamic Republic of...",Master’s degree,,,
India,Master’s degree,Software Engineer,20+ years,Python
Japan,Master’s degree,Data Engineer,3-5 years,Python
Canada,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years,SQL
United States of America,Master’s degree,Data Analyst,< 1 years,SQL
Nigeria,Master’s degree,Data Scientist,1-2 years,Python
Other,Professional degree,,,
India,Master’s degree,Student,1-2 years,Python
Romania,Master’s degree,Software Engineer,5-10 years,Julia
United States of America,Master’s degree,Software Engineer,5-10 years,SQL
"Iran, Islamic Republic of...",Bachelor’s degree,Student,3-5 years,C++
Israel,Bachelor’s degree,Data Scientist,10-20 years,SQL
Chile,Bachelor’s degree,Currently not employed,1-2 years,
United Arab Emirates,Bachelor’s degree,Other,< 1 years,Python
Brazil,Bachelor’s degree,Data Analyst,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Other,I prefer not to answer,Machine Learning Engineer,20+ years,
India,I prefer not to answer,Data Scientist,3-5 years,SQL
Spain,Master’s degree,Currently not employed,3-5 years,Python
Canada,Master’s degree,Student,5-10 years,Python
Nigeria,Bachelor’s degree,Software Engineer,< 1 years,Python
Ukraine,Professional degree,Product/Project Manager,3-5 years,Python
India,I prefer not to answer,Data Analyst,1-2 years,Python
Ukraine,Master’s degree,Student,3-5 years,MATLAB
India,Bachelor’s degree,Software Engineer,3-5 years,Python
